Eje_X_Distancia Banda_1 Banda_2 Banda_3
4.93377638e+00 -1.70691851e-01 2.20742838e+00 3.72119589e+00
4.94783273e+00 -1.76562684e-01 2.21558940e+00 3.71968769e+00
4.96188907e+00 -1.82412313e-01 2.22368837e+00 3.71822531e+00
4.97594541e+00 -1.88237628e-01 2.23171885e+00 3.71681172e+00
4.99000175e+00 -1.94035641e-01 2.23967457e+00 3.71544984e+00
5.00405810e+00 -1.99803475e-01 2.24754945e+00 3.71414253e+00
5.01811444e+00 -2.05538372e-01 2.25533758e+00 3.71289258e+00
5.03217078e+00 -2.11237683e-01 2.26303322e+00 3.71170273e+00
5.04622713e+00 -2.16898872e-01 2.27063084e+00 3.71057562e+00
5.06028347e+00 -2.22519510e-01 2.27812509e+00 3.70951381e+00
5.07433981e+00 -2.28097275e-01 2.28551083e+00 3.70851977e+00
5.08839615e+00 -2.33629950e-01 2.29278313e+00 3.70759588e+00
5.10245250e+00 -2.39115418e-01 2.29993728e+00 3.70674437e+00
5.11650884e+00 -2.44551665e-01 2.30696877e+00 3.70596740e+00
5.13056518e+00 -2.49936774e-01 2.31387333e+00 3.70526697e+00
5.14462153e+00 -2.55268923e-01 2.32064692e+00 3.70464496e+00
5.15867787e+00 -2.60546384e-01 2.32728574e+00 3.70410311e+00
5.17273421e+00 -2.65767521e-01 2.33378622e+00 3.70364300e+00
5.18679056e+00 -2.70930787e-01 2.34014505e+00 3.70326607e+00
5.20084690e+00 -2.76034723e-01 2.34635916e+00 3.70297358e+00
5.21490324e+00 -2.81077955e-01 2.35242576e+00 3.70276664e+00
5.22895958e+00 -2.86059190e-01 2.35834228e+00 3.70264617e+00
5.24301593e+00 -2.90977220e-01 2.36410645e+00 3.70261293e+00
5.25707227e+00 -2.95830911e-01 2.36971625e+00 3.70266746e+00
5.27112861e+00 -3.00619210e-01 2.37516993e+00 3.70281014e+00
5.28518496e+00 -3.05341136e-01 2.38046600e+00 3.70304116e+00
5.29924130e+00 -3.09995782e-01 2.38560326e+00 3.70336050e+00
5.31329764e+00 -3.14582310e-01 2.39058078e+00 3.70376794e+00
5.32735399e+00 -3.19099953e-01 2.39539787e+00 3.70426307e+00
