Eje_X_Distancia Banda_1 Banda_2 Banda_3
8.43380578e-01 -1.86647673e-01 2.84541392e+00 3.04836616e+00
8.71493264e-01 -1.94171117e-01 2.84112247e+00 3.05418530e+00
8.99605950e-01 -2.01807404e-01 2.83686110e+00 3.05992943e+00
9.27718636e-01 -2.09547497e-01 2.83264388e+00 3.06557898e+00
9.55831322e-01 -2.17382467e-01 2.82848500e+00 3.07111451e+00
9.83944008e-01 -2.25303497e-01 2.82439865e+00 3.07651674e+00
1.01205669e+00 -2.33301878e-01 2.82039902e+00 3.08176656e+00
1.04016938e+00 -2.41369013e-01 2.81650026e+00 3.08684512e+00
1.06828207e+00 -2.49496406e-01 2.81271645e+00 3.09173378e+00
1.09639475e+00 -2.57675661e-01 2.80906154e+00 3.09641423e+00
1.12450744e+00 -2.65898471e-01 2.80554937e+00 3.10086842e+00
1.15262012e+00 -2.74156612e-01 2.80219355e+00 3.10507866e+00
1.18073281e+00 -2.82441927e-01 2.79900749e+00 3.10902761e+00
1.20884550e+00 -2.90746321e-01 2.79600435e+00 3.11269828e+00
1.23695818e+00 -2.99061743e-01 2.79319698e+00 3.11607409e+00
1.26507087e+00 -3.07380174e-01 2.79059791e+00 3.11913890e+00
1.29318355e+00 -3.15693614e-01 2.78821931e+00 3.12187695e+00
1.32129624e+00 -3.23994067e-01 2.78607293e+00 3.12427296e+00
1.34940893e+00 -3.32273525e-01 2.78417012e+00 3.12631212e+00
1.37752161e+00 -3.40523959e-01 2.78252174e+00 3.12798008e+00
1.40563430e+00 -3.48737296e-01 2.78113816e+00 3.12926299e+00
1.43374698e+00 -3.56905415e-01 2.78002923e+00 3.13014752e+00
1.46185967e+00 -3.65020128e-01 2.77920423e+00 3.13062084e+00
1.48997235e+00 -3.73073168e-01 2.77867186e+00 3.13067067e+00
1.51808504e+00 -3.81056181e-01 2.77844021e+00 3.13028528e+00
1.54619773e+00 -3.88960714e-01 2.77851671e+00 3.12945350e+00
1.57431041e+00 -3.96778206e-01 2.77890816e+00 3.12816472e+00
1.60242310e+00 -4.04499981e-01 2.77962063e+00 3.12640894e+00
1.63053578e+00 -4.12117240e-01 2.78065949e+00 3.12417676e+00
1.65864847e+00 -4.19621062e-01 2.78202938e+00 3.12145938e+00
1.68676116e+00 -4.27002394e-01 2.78373416e+00 3.11824868e+00
1.71487384e+00 -4.34252056e-01 2.78577690e+00 3.11453717e+00
1.74298653e+00 -4.41360739e-01 2.78815986e+00 3.11031805e+00
1.77109921e+00 -4.48319005e-01 2.79088441e+00 3.10558526e+00
1.79921190e+00 -4.55117296e-01 2.79395107e+00 3.10033350e+00
1.82732459e+00 -4.61745937e-01 2.79735938e+00 3.09455829e+00
1.85543727e+00 -4.68195145e-01 2.80110787e+00 3.08825601e+00
1.88354996e+00 -4.74455037e-01 2.80519397e+00 3.08142408e+00
1.91166264e+00 -4.80515644e-01 2.80961387e+00 3.07406100e+00
1.93977533e+00 -4.86366919e-01 2.81436232e+00 3.06616663e+00
1.96788802e+00 -4.91998758e-01 2.81943239e+00 3.05774241e+00
1.99600070e+00 -4.97401011e-01 2.82481500e+00 3.04879188e+00
2.02411339e+00 -5.02563501e-01 2.83049827e+00 3.03932126e+00
2.05222607e+00 -5.07476045e-01 2.83646643e+00 3.02934068e+00
2.08033876e+00 -5.12128471e-01 2.84269795e+00 3.01886595e+00
2.10845145e+00 -5.16510641e-01 2.84916225e+00 3.00792195e+00
2.13656413e+00 -5.20612476e-01 2.85581351e+00 2.99654879e+00
2.16467682e+00 -5.24423976e-01 2.86257831e+00 2.98481422e+00
2.19278950e+00 -5.27935245e-01 2.86932901e+00 2.97284026e+00
2.22090219e+00 -5.31136521e-01 2.87582156e+00 2.96086540e+00
2.24901488e+00 -5.34018197e-01 2.88154089e+00 2.94939927e+00
2.27712756e+00 -5.36570853e-01 2.88533739e+00 2.93958615e+00
2.30524025e+00 -5.38785279e-01 2.88502699e+00 2.93360492e+00
2.33335293e+00 -5.40652508e-01 2.87878483e+00 2.93327543e+00
2.36146562e+00 -5.42163841e-01 2.86765412e+00 2.93754968e+00
2.38957830e+00 -5.43310882e-01 2.85369012e+00 2.94436783e+00
2.41769099e+00 -5.44085561e-01 2.83809485e+00 2.95252350e+00
2.44580368e+00 -5.44480170e-01 2.82141878e+00 2.96146220e+00
2.47391636e+00 -5.44487391e-01 2.80392283e+00 2.97091927e+00
2.50202905e+00 -5.44100328e-01 2.78574368e+00 2.98075463e+00
2.53014173e+00 -5.43312536e-01 2.76696114e+00 2.99088546e+00
2.55825442e+00 -5.42118059e-01 2.74762683e+00 3.00125748e+00
2.58636711e+00 -5.40511455e-01 2.72777755e+00 3.01183172e+00
2.61447979e+00 -5.38487832e-01 2.70744185e+00 3.02257787e+00
2.64259248e+00 -5.36042882e-01 2.68664361e+00 3.03347080e+00
2.67070516e+00 -5.33172911e-01 2.66540398e+00 3.04448864e+00
2.69881785e+00 -5.29874875e-01 2.64374257e+00 3.05561159e+00
2.72693054e+00 -5.26146415e-01 2.62167818e+00 3.06682126e+00
2.75504322e+00 -5.21985889e-01 2.59922927e+00 3.07810023e+00
2.78315591e+00 -5.17392412e-01 2.57641424e+00 3.08943176e+00
2.81126859e+00 -5.12365888e-01 2.55325170e+00 3.10079962e+00
2.83938128e+00 -5.06907051e-01 2.52976056e+00 3.11218801e+00
2.86749397e+00 -5.01017498e-01 2.50596017e+00 3.12358141e+00
2.89560665e+00 -4.94699736e-01 2.48187042e+00 3.13496460e+00
2.92371934e+00 -4.87957215e-01 2.45751179e+00 3.14632259e+00
2.95183202e+00 -4.80794374e-01 2.43290539e+00 3.15764063e+00
2.97994471e+00 -4.73216683e-01 2.40807306e+00 3.16890419e+00
3.00805740e+00 -4.65230686e-01 2.38303737e+00 3.18009896e+00
3.03617008e+00 -4.56844051e-01 2.35782167e+00 3.19121084e+00
